lot_size_sf,city,deed_date,price_usd,sale_date,lat,lon,build_yr,build_size_sf,patio_ct,patio_type,wall_type,roof_type,bath_fixtures_ct,parking_type
25063,PHOENIX,04/24/2020,525000,04/01/2020,33.352338,-112.156826,2007,4917,2,Covered,Frame Wood,Concrete Tile,13,GR
20756,PHOENIX,11/14/2017,337500,11/01/2017,33.352386,-112.157233,2007,2938,2,Covered,Frame Wood,Concrete Tile,14,GR
20810,PHOENIX,04/03/2020,545000,03/01/2020,33.352385,-112.15758,2007,5588,2,Covered Slab,Frame Wood,Concrete Tile,14,GR
20862,PHOENIX,07/16/2020,550000,05/01/2020,33.352384,-112.157927,2007,3849,4,Covered Slab,Frame Stucco,Concrete Tile,14,GR
22101,PHOENIX,04/10/2019,,,33.352383,-112.158284,2007,5588,2,Covered Slab,Frame Wood,Concrete Tile,14,GR
18274,PHOENIX,12/28/2016,430000,12/01/2016,33.352968,-112.158855,2007,5588,3,Covered Slab,Frame Wood,Concrete Tile,14,GR
18020,PHOENIX,02/25/2013,295000,01/01/2013,33.352967,-112.158506,2007,2938,2,Covered Slab,Frame Wood,Concrete Tile,12,GR
18020,PHOENIX,04/30/2009,250000,03/01/2009,33.352968,-112.158159,2007,4403,2,Covered,Frame Wood,Concrete Tile,11,GR
18020,PHOENIX,06/12/2015,445000,06/01/2015,33.352968,-112.157811,2007,5689,3,Covered Slab,Frame Wood,Concrete Tile,17,GR
18020,PHOENIX,06/20/2013,275000,06/01/2013,33.352968,-112.157464,2007,2705,1,Covered,Frame Wood,Concrete Tile,11,GR
18274,PHOENIX,08/28/2007,576901,11/01/2006,33.35297,-112.157115,2007,2939,3,Covered Slab,Frame Wood,Concrete Tile,14,GR
6215,SURPRISE,01/03/2013,145105,04/01/2012,33.634871,-112.453925,2012,1719,1,Covered,Frame Stucco,Concrete Tile,8,GR
6000,SURPRISE,01/16/2020,,,33.634872,-112.454092,2012,1734,2,Covered Slab,Frame Stucco,Concrete Tile,6,GR
6000,SURPRISE,04/01/2013,169195,02/01/2013,33.63487,-112.454256,2012,1734,1,Covered,Frame Stucco,Concrete Tile,6,GR
6000,SURPRISE,12/14/2012,158980,06/01/2012,33.634868,-112.45442,2012,1734,1,Covered,Frame Stucco,Concrete Tile,6,GR
